"auto_id","hisco_45_id","hisco_3_id","hisco_2_id","hisco_1_id","label","description","country_code","preferred"
"35415","30","2","1","2","Farm Manager","Plans, organises and controls the operation of a farm on behalf of private, collective or public owner.","","0"
"35416","40","2","1","2","Contractor","Contracts on predetermined terms to provide labour and materials and to be responsible for the completion of a job or project in accordance with established specifications or plans.","","0"
"35417","0","3","1","2","Sales Manager, Specialisation Unknown","May perform any (but not all) of the occupational activities described in unit group 2-13.","","0"
"35418","20","3","1","2","Sales Manager (except Wholesale and Retail Trade)","Plans, organises and controls sales activities of an industrial undertaking or other organisation, except a wholesale or retail business, and participates in formulating sales policy.","","0"
"35419","30","3","1","2","Sales Manager (Wholesale Trade)","Plans and organises a business or a branch of a business in wholesale trade and directs workers engaged in selling goods to retailers and to industrial, commercial or other large consumers.","","0"
"35420","40","3","1","2","Sales Manager (Retail Trade)","Plans and organises a business in retail trade and directs workers engaged in selling goods for personal or household consumption or utilisation.","","0"
"35421","20","4","1","2","Hotel and Restaurant Manager","Plans and organises a hotel and restaurant or motel on behalf of the proprietors to provide accommodation and meals for guests and directs and controls staff to ensure efficient and profitable operation.","","0"
"35422","30","4","1","2","Restaurant Manager","Plans and organises a restaurant on behalf of the proprietors to provide food and beverages for guests, and directs and controls staff to ensure efficient and profitable operation.","","0"
"35423","40","4","1","2","Ship's Purser","Supervises and co-ordinates activities of crew members aboard ship concerned with shipboard business matters and social activities of passengers.","","0"
"35424","90","4","1","2","Other Managers (Catering, Lodging and Leisure Services)","This group includes catering, lodging and leisure managers not elsewhere classified, for example those who manage temporary or permanent lodging facilities, such as boarding or guest houses and caravan parks; cafeterias, bars, cafés and canteens; refreshment stands at sporting events, and public gatherings. This group also includes those who manage leisure facilities, such as sports halls, swimming pools, playing fields, recreation rooms and amusement parks.","","0"
"35425","20","9","1","2","Research and Development Manager","Plans, organises and controls research and development work, in an industrial enterprise or other establishment, relating to such matters as development of new or improved technical processes, new or improved products and utilisation of different materials, and participates in formulating research policy.","","0"
"35426","40","9","1","2","Administration Manager","Plans, organises and controls the internal administration of an industrial, commercial or other organisation and participates in formulating the administrative policy of the organisation. Workers sometimes described as ""office managers"", who are occupied mainly in directly supervising workers in clerical occupations, are classified in unit group 2-21.","","0"
"35427","50","9","1","2","Budgeting and Accounting Manager","Plans, organises and controls, within powers delegated to him, the financial operations of an industrial, commercial or other organisation and participates in formulating the financial policy of the organisation.","","0"
"35428","60","9","1","2","Transport Operations Managers","Plans, organises and controls operational activities in road, rail, air or water transport and participates in formulating policies to ensure the efficient handling of freight and passenger traffic and the best use of transport equipment. Railway station managers are classified in 2-22.10.","","0"
"35429","70","9","1","2","Operations Manager (Postal or Telecommunications Services)","Plans, organises and controls operational activities of a postal or telecommunications service and participates in formulating policy concerning operation and development of the service. Postmasters are classified in 2-22.20.","","0"
"35430","80","9","1","2","Industrial Relations and Personnel Manager","Plans, organises and controls industrial relations and personnel activities of an industrial or commercial undertaking or other organisation and participates in formulating the recruitment, training, wages, safety, welfare and other personnel policies of the undertaking.","","0"
"35431","90","9","1","2","Other Managers","Workers in this group plan, organise, direct and control a department within an undertaking, establishment or organisation, such as departments concerned with the following: buying business and other services or supplies and materials for processing and fabrication; warehouse, bond store or cold store services; pipeline services; advertising, public relations and public information services; investment and loans services; or perform other managerial activities not elsewhere classified.","","0"
"35432","0","0","2","2","Supervisor, Foremen or Inspector, Specialisation Unknown","May perform any (but not all) of the occupational activities described in minor group 2-2.","","0"
"35433","10","1","2","2","Clerical Supervisor, General","Supervises and co-ordinates the daily activities of workers engaged in clerical and related duties in the general office of a public or private establishment, or of those engaged in such work in more than one section of an establishment.","","0"
"35434","90","1","2","2","Other Clerical Supervisors","This group includes clerical supervisors not elsewhere classified, for example those who supervise workers engaged in various clerical and related occupations in one particular section of an establishment.","","0"
"35435","10","2","2","2","Railway Station Master","Organises, controls and co-ordinates passenger and related railway services at a railway station and supervises the operation of trains within the station limits.","","0"
"35436","20","2","2","2","Postmaster","Organises, controls and co-ordinates postal and related services in an urban locality or other limited geographical area.","","0"
"35437","30","2","2","2","Railway Service Supervisor","Supervises and co-ordinates one or more of the service activities of the traffic department of a railway undertaking. Railway station master is classified in 2-22.10 and Railway goods agent in 2-22.45.","","0"
"35438","35","2","2","2","Train Dispatcher","Directs the movement of trains within a division or zone of a railway system.","","0"
"35439","40","2","2","2","Railway Transport Service Inspector","Makes field inspections of railway and underground transport services.","","0"
"35440","45","2","2","2","Railway Goods Agent","Directs and controls freight service at a railway yard.","","0"
"35441","50","2","2","2","Road Transport Service Supervisor","Supervises and co-ordinates one or more of the service activities of the traffic department of a road transport undertaking.","","0"
"35442","55","2","2","2","Road Passenger Transport Service Inspector","Makes field inspections of road passenger transport services.","","0"
"35443","60","2","2","2","Air Transport Service Supervisor","Supervises and co-ordinates one or more service activities of an air transport undertaking.","","0"
"35444","65","2","2","2","Air Traffic Controller","Clears aircraft for landings and take-offs at airport and controls aircraft in flight in the vicinity of airport or in a designated sector of airspace.","","0"
"35445","70","2","2","2","Flight Operations Officer","Co-ordinates flight planning and assists in monitoring of en-route operations.","","0"
"35446","75","2","2","2","Telecommunications Service Supervisor","Controls and supervises telecommunications operational services, such as radio, telephone and telegraph. Foremen-supervisors concerned with installation and maintenance of telecommunications equipment are classified in unit group 8-56 and Telecommunications engineers are classified in 0-23.40.","","0"
